"","Team","Season"
"1","KC Black Stars",2011
"2","$1 Hot Dog Night",2011
"3","6-4-3 Dobermans",2011
"4","Team Mitchell",2011
"5","The Green Monsters",2011
"6","Over The Baggy",2011
"7","Have You Seen My Baseball?",2011
"8","Rage Against  The MaSHEEN!",2011
"9","M-Square Sliders",2011
"10","StraightEdge Racers",2011
"11","Team Lopez",2011
"12","Kansas Sleazy",2011
"241","#4 M-Square Sliders",2011
"242","#1 KC Black Stars",2011
"243","#3 $1 Hot Dog Night",2011
"244","#2 Kansas Sleazy",2011
"245","#6 The Green Monsters",2011
"246","#5 Rage Against  The MaSHEEN!",2011
"247","#8 Team Mitchell",2011
"248","#7 StraightEdge Racers",2011
"249","#10 Team Lopez",2011
"250","#9 Have You Seen My Baseball?",2011
"251","#12 6-4-3 Dobermans",2011
"252","#11 Over The Baggy",2011
"265","Terlingua Buffaloes",2012
"266","$1 Hot Dog Night",2012
"267","KC Royal Blues",2012
"268","Great Plains Gypsies",2012
"269","All Aboard the Cain Train",2012
"270","Over The Baggy",2012
"271","Have You Seen My Baseball?",2012
"272","Zues' BUTTHOLE!!!",2012
"273","A New Beginning",2012
"274","JHam's Vodka and Holy Water",2012
"275","Dark Knights",2012
"276","Kansas Sleazy",2012
"505","#4 Over The Baggy",2012
"506","#1 Terlingua Buffaloes",2012
"507","#3 All Aboard the Cain Train",2012
"508","#2 Zues' BUTTHOLE!!!",2012
"509","#6 Kansas Sleazy",2012
"510","#5 Have You Seen My Baseball?",2012
"511","#8 A New Beginning",2012
"512","#7 JHam's Vodka and Holy Water",2012
"513","#10 KC Royal Blues",2012
"514","#9 Great Plains Gypsies",2012
"515","#12 Dark Knights",2012
"516","#11 $1 Hot Dog Night",2012
"529","Do You Respect Wood?",2013
"530","Cuban Missiles",2013
"531","Kansas Sleazy",2013
"532","Over The Baggy",2013
"533","Los Pollos Hermanos",2013
"534","Sweet Sweenies",2013
"535","Zeus' BUTTHOLE!!!",2013
"536","Kinsler's List",2013
"537","Jaso For President",2013
"538","Mighty Murphing Power Rangers",2013
"539","Falling  Fast",2013
"540","Under New Management",2013
