"","Season","Week","Team","R","HR","RBI","SB","OBP","SLG","K","QS","W","SV","ERA","WHIP"
"1",2011,1,"KC Black Stars",50,12,55,10,0.3348,0.4249,92,10,6,12,2.851,1.277
"2",2011,1,"$1 Hot Dog Night",64,16,63,9,0.3311,0.4589,86,7,4,13,3.146,1.155
"3",2011,1,"6-4-3 Dobermans",46,11,48,12,0.3295,0.4094,62,4,3,4,4.954,1.225
"4",2011,1,"Team Mitchell",51,15,54,4,0.3386,0.4504,66,8,4,9,4.483,1.367
"5",2011,1,"The Green Monsters",53,14,41,7,0.3407,0.4239,74,7,6,4,3.558,1.221
"6",2011,1,"Over The Baggy",53,17,68,6,0.323,0.445,70,6,4,6,4.519,1.356
"7",2011,1,"Have You Seen My Baseball?",48,16,59,4,0.3255,0.4203,61,7,5,4,4.705,1.489
"8",2011,1,"Rage Against  The MaSHEEN!",47,9,50,6,0.3011,0.3579,80,12,9,1,3.036,1.012
"9",2011,1,"M-Square Sliders",61,11,59,6,0.3556,0.4687,61,4,2,4,4.52,1.371
"10",2011,1,"StraightEdge Racers",49,10,49,10,0.3108,0.3729,73,7,5,2,3.363,1.318
"11",2011,1,"Team Lopez",57,15,52,13,0.3612,0.4319,61,7,3,5,3.974,1.325
"12",2011,1,"Kansas Sleazy",76,15,48,15,0.3903,0.5183,81,9,6,1,3.2,1.156
"13",2011,2,"6-4-3 Dobermans",32,8,33,7,0.3118,0.4059,57,5,4,2,4.67,1.378
"14",2011,2,"KC Black Stars",44,11,39,6,0.3645,0.4962,48,4,2,5,3.876,1.364
"15",2011,2,"$1 Hot Dog Night",43,14,47,6,0.3646,0.5379,34,2,3,8,4.373,1.331
"16",2011,2,"The Green Monsters",57,16,39,6,0.3758,0.5678,60,5,5,0,4.05,1.118
"17",2011,2,"Team Mitchell",33,5,24,6,0.3249,0.4016,57,6,5,4,3.34,1.237
"18",2011,2,"Over The Baggy",27,6,27,6,0.3536,0.4091,54,2,5,7,4.229,1.446
"19",2011,2,"M-Square Sliders",33,7,36,3,0.2948,0.3859,35,1,4,3,5.081,1.597
"20",2011,2,"Have You Seen My Baseball?",28,6,28,1,0.3311,0.4007,33,6,5,3,2.438,1.125
"21",2011,2,"Rage Against  The MaSHEEN!",31,5,30,8,0.3212,0.3704,44,6,3,1,3.59,1.214
"22",2011,2,"Team Lopez",35,9,42,5,0.3616,0.4474,52,6,7,0,4.223,1.308
"23",2011,2,"StraightEdge Racers",30,6,26,5,0.2887,0.3423,46,3,2,3,5.063,1.35
"24",2011,2,"Kansas Sleazy",32,3,14,14,0.3671,0.3755,73,3,1,2,4.154,1.338
"25",2011,3,"KC Black Stars",33,2,26,4,0.3449,0.375,80,4,3,8,4.858,1.343
"26",2011,3,"The Green Monsters",40,12,38,5,0.3369,0.4421,39,3,4,2,4.243,1.307
"27",2011,3,"Over The Baggy",44,5,30,5,0.3626,0.4322,44,5,5,3,2.88,1.06
"28",2011,3,"6-4-3 Dobermans",38,13,38,15,0.319,0.4646,37,5,3,1,3.699,1.295
"29",2011,3,"Team Mitchell",32,7,30,6,0.3119,0.3516,60,7,7,5,1.775,1.141
"30",2011,3,"$1 Hot Dog Night",44,9,37,9,0.3394,0.4339,58,3,4,3,5.923,1.806
"31",2011,3,"Have You Seen My Baseball?",32,12,41,5,0.3249,0.4401,71,5,5,3,3.908,1.25
"32",2011,3,"Team Lopez",37,6,33,3,0.3643,0.4201,64,6,2,0,2.959,1.137
"33",2011,3,"Kansas Sleazy",45,11,25,9,0.3639,0.4824,45,6,4,3,3.5,1.278
"34",2011,3,"M-Square Sliders",26,6,34,3,0.3012,0.4,53,5,3,3,3.878,1.005
"35",2011,3,"StraightEdge Racers",31,7,34,10,0.3478,0.4091,84,7,8,4,3.887,1.226
"36",2011,3,"Rage Against  The MaSHEEN!",36,6,22,4,0.3221,0.3766,71,9,7,1,2.376,0.984
"37",2011,4,"Over The Baggy",28,7,33,4,0.405,0.4907,30,3,2,6,4.39,1.366
"38",2011,4,"KC Black Stars",30,7,33,6,0.2895,0.3732,53,5,3,6,5.37,1.525
"39",2011,4,"The Green Monsters",27,7,29,8,0.3404,0.3806,79,8,4,1,2.643,1.072
"40",2011,4,"Team Mitchell",44,11,41,4,0.3408,0.4681,46,6,6,5,2.213,1.016
"41",2011,4,"6-4-3 Dobermans",39,5,43,5,0.3536,0.4291,30,5,2,1,5.355,1.24
"42",2011,4,"$1 Hot Dog Night",43,10,38,7,0.3445,0.4444,76,8,4,6,3.434,1.237
"43",2011,4,"Kansas Sleazy",39,8,37,9,0.377,0.4241,49,6,5,7,3.408,1.194
"44",2011,4,"Have You Seen My Baseball?",33,12,33,1,0.3148,0.4696,47,5,4,1,3.541,1.361
"45",2011,4,"Team Lopez",26,6,25,5,0.2924,0.3521,52,6,6,1,3.235,1.244
"46",2011,4,"StraightEdge Racers",31,9,26,6,0.3123,0.3882,47,6,6,2,3.289,1.294
"47",2011,4,"M-Square Sliders",47,16,43,3,0.3707,0.5465,37,3,3,2,5.894,1.817
"48",2011,4,"Rage Against  The MaSHEEN!",32,6,27,9,0.3123,0.3484,53,5,2,0,4.131,1.164
"49",2011,5,"KC Black Stars",36,10,29,3,0.3087,0.3692,61,6,7,7,1.826,1.043
"50",2011,5,"Team Mitchell",24,8,27,8,0.3344,0.3602,55,6,5,8,3.575,1.164
"51",2011,5,"$1 Hot Dog Night",36,7,38,8,0.319,0.3754,74,8,4,4,2.466,1.123
"52",2011,5,"Over The Baggy",25,4,32,4,0.3542,0.4123,51,5,4,6,2.489,1.106
"53",2011,5,"6-4-3 Dobermans",32,0,29,4,0.3226,0.3583,51,7,2,0,2.427,0.978
"54",2011,5,"The Green Monsters",43,10,27,4,0.3497,0.4471,69,9,4,1,2.455,1.027
"55",2011,5,"Have You Seen My Baseball?",36,4,22,7,0.2926,0.3118,45,4,3,4,4.327,1.288
"56",2011,5,"StraightEdge Racers",26,6,25,6,0.3022,0.3476,66,5,4,2,4.5,1.317
"57",2011,5,"Rage Against  The MaSHEEN!",28,6,34,5,0.3246,0.3768,49,5,4,3,4.114,1.2
"58",2011,5,"Kansas Sleazy",22,5,38,5,0.3091,0.4032,34,6,5,4,1.588,1.024
"59",2011,5,"M-Square Sliders",27,6,25,3,0.3,0.3557,69,7,3,4,3.248,1.353
"60",2011,5,"Team Lopez",30,6,35,9,0.3121,0.3657,41,5,4,2,3.675,1.178
"61",2011,6,"Have You Seen My Baseball?",35,8,25,3,0.3435,0.417,51,5,7,0,3.068,1.159
"62",2011,6,"KC Black Stars",36,9,36,6,0.3626,0.4837,58,5,7,10,3.6,1.129
"63",2011,6,"Rage Against  The MaSHEEN!",37,14,43,5,0.3633,0.5,39,3,3,4,3.323,1.246
"64",2011,6,"$1 Hot Dog Night",47,17,47,11,0.3758,0.5404,74,5,6,4,4.351,1.314
"65",2011,6,"M-Square Sliders",27,7,24,5,0.3714,0.4775,47,5,3,3,4.793,1.278
"66",2011,6,"6-4-3 Dobermans",30,8,26,4,0.2986,0.3595,36,3,2,3,4.974,1.421
"67",2011,6,"Team Lopez",25,5,23,6,0.3309,0.3489,55,5,4,1,2.793,1.19
"68",2011,6,"The Green Monsters",29,6,27,4,0.3701,0.4696,62,7,4,2,2.675,1.259
"69",2011,6,"Kansas Sleazy",46,15,48,4,0.3659,0.5598,56,6,3,2,3.942,1.274
"70",2011,6,"Over The Baggy",28,7,28,1,0.3407,0.455,35,3,2,2,3.306,1.408
"71",2011,6,"StraightEdge Racers",22,4,26,8,0.3451,0.3769,50,4,2,2,5.25,1.567
"72",2011,6,"Team Mitchell",38,5,35,9,0.3885,0.4227,40,3,4,4,5.497,1.635
"73",2011,7,"$1 Hot Dog Night",37,2,27,8,0.3614,0.363,77,8,3,3,3.457,1.287
"74",2011,7,"Have You Seen My Baseball?",27,6,21,7,0.3016,0.3416,47,6,4,4,3.318,1.173
"75",2011,7,"6-4-3 Dobermans",35,6,32,3,0.3232,0.3866,42,6,4,4,3.922,1.391
"76",2011,7,"Rage Against  The MaSHEEN!",34,7,39,3,0.3283,0.4088,59,7,4,3,2.368,1.105
"77",2011,7,"The Green Monsters",32,10,37,3,0.3049,0.4067,75,6,4,3,2.723,1.084
"78",2011,7,"M-Square Sliders",38,4,27,4,0.3197,0.3947,56,6,5,7,2.394,1.138
"79",2011,7,"Over The Baggy",34,8,31,6,0.3663,0.5163,47,4,5,2,2.7,1.267
"80",2011,7,"Team Lopez",44,13,38,6,0.3556,0.4875,34,5,1,4,3.494,1.324
"81",2011,7,"Team Mitchell",28,4,21,10,0.3272,0.376,55,7,5,7,1.604,1.04
"82",2011,7,"Kansas Sleazy",31,8,29,5,0.3553,0.4412,64,9,4,4,3.498,1.275
"83",2011,7,"KC Black Stars",34,8,30,5,0.3123,0.3574,83,8,3,5,3.649,1.186
"84",2011,7,"StraightEdge Racers",25,4,27,2,0.318,0.3506,68,7,3,2,3.424,1.2
"85",2011,8,"Have You Seen My Baseball?",37,14,42,6,0.3277,0.4735,51,4,2,3,4.543,1.327
"86",2011,8,"6-4-3 Dobermans",35,7,39,7,0.3091,0.4111,38,5,5,1,2.979,1.262
"87",2011,8,"Rage Against  The MaSHEEN!",38,5,33,2,0.3387,0.4034,39,6,1,2,3.375,1.381
"88",2011,8,"The Green Monsters",35,7,35,7,0.3277,0.4096,63,4,4,4,4.519,1.205
"89",2011,8,"M-Square Sliders",33,3,27,9,0.3392,0.3745,67,9,5,9,2.59,1.218
"90",2011,8,"Over The Baggy",23,5,28,1,0.3302,0.4359,60,4,4,5,3.032,1.123
"91",2011,8,"Team Lopez",29,9,26,7,0.3446,0.4031,49,7,5,0,2.983,1.26
"92",2011,8,"Team Mitchell",33,6,29,10,0.3237,0.3936,44,3,2,3,4.959,1.49
"93",2011,8,"Kansas Sleazy",45,11,41,10,0.3981,0.4888,47,3,4,1,6.409,1.652
"94",2011,8,"KC Black Stars",32,8,34,6,0.3493,0.4071,53,4,1,4,6.136,1.561
"95",2011,8,"StraightEdge Racers",28,3,21,9,0.3021,0.3611,50,6,4,5,2.829,1.157
"96",2011,8,"$1 Hot Dog Night",49,9,47,5,0.3473,0.4597,55,7,3,1,5.121,1.384
"97",2011,9,"The Green Monsters",47,16,38,12,0.3379,0.513,52,6,7,1,3.306,1.209
"98",2011,9,"Have You Seen My Baseball?",36,11,30,6,0.3419,0.4733,58,5,4,2,3.817,1.257
"99",2011,9,"Over The Baggy",30,7,33,3,0.3346,0.4321,52,1,3,8,6.371,1.551
"100",2011,9,"Rage Against  The MaSHEEN!",42,12,45,9,0.3145,0.4416,65,7,3,1,3.719,1.393
"101",2011,9,"Team Mitchell",22,8,43,4,0.2788,0.363,49,5,2,3,3.75,1.05
"102",2011,9,"M-Square Sliders",42,12,39,2,0.3544,0.5376,50,5,4,4,2.366,1.113
"103",2011,9,"KC Black Stars",40,9,52,10,0.3515,0.4456,60,5,5,6,3.309,0.985
"104",2011,9,"Team Lopez",49,12,47,7,0.4038,0.4943,34,5,1,2,3.284,1.135
"105",2011,9,"$1 Hot Dog Night",46,9,47,13,0.3513,0.4932,53,3,3,7,5.276,1.466
